x|y|labels
-21.445337295532227|7.597584247589111|Cranberries
-10.436906814575195|-2.3483054637908936|Kerne
-17.40389060974121|1.5275030136108398|Walnüsse
15.049949645996094|-3.411875009536743|fein
-11.242836952209473|-2.325887441635132|hell
-19.035961151123047|25.7490234375|Wasser
-16.720664978027344|1.1889305114746094|vegane
3.8777244091033936|-2.58282208442688|groß
-22.03274154663086|17.000925064086914|weiß
-19.425968170166016|24.62407875061035|Speisestärke
13.72294807434082|-3.028249979019165|Vortag
-18.3830509185791|2.500927686691284|ca
-0.7442660331726074|-2.8417246341705322|kleiner
-18.337099075317383|26.114648818969727|Sellerie
26.593490600585938|-22.34063720703125|kleine
-15.80370044708252|0.2400858998298645|Pulver
-19.984174728393555|4.571292400360107|Dill
-18.957901000976562|2.8160109519958496|Stängel
-20.86606788635254|5.600106239318848|Majoran
-7.125126361846924|-2.8917274475097656|Sauce
-20.91263771057129|21.363422393798828|Süßkartoffeln
6.064642429351807|-2.0452215671539307|Puderzucker
16.454357147216797|-3.845475196838379|Zucker
-22.24956512451172|15.2735013961792|Espresso
3.117964744567871|-2.4204800128936768|PRO
3.0356950759887695|-2.255842924118042|PLANET
26.13959503173828|-20.810571670532227|Dose
-17.980009078979492|1.8816399574279785|Tortellini
-1.8994905948638916|-2.9095818996429443|Zuckerperlen
-22.020709991455078|16.49648094177246|Pistazien
-16.658443450927734|0.7375549674034119|Kochen
-17.611536026000977|1.9321409463882446|mehr
-22.49833869934082|10.111520767211914|Backpulver
19.138179779052734|-5.307802677154541|Weintrauben
-16.922367095947266|29.2979736328125|Weißwein
3.2107725143432617|-3.129272222518921|Form
-20.669416427612305|21.395544052124023|gehäuft
-21.274085998535156|19.897443771362305|Barilla
-20.599863052368164|21.038837432861328|Knoblauch
-22.328821182250977|14.597000122070312|Einfetten
-21.14728546142578|6.569338321685791|das
-12.04284954071045|-2.097212791442871|Fondant
-17.059284210205078|29.244279861450195|Haferflocken
-17.71194076538086|1.3676671981811523|cm
1.2242070436477661|-2.4631216526031494|bunte
17.849023818969727|-4.40026330947876|blau
-16.660350799560547|0.4804862141609192|bunter
-21.91928482055664|16.418581008911133|dicke
-5.210399150848389|-3.175845146179199|dunkle
-20.567855834960938|5.529585361480713|einige
-16.26433563232422|0.7354028224945068|entsteint
-19.950151443481445|4.590189456939697|Bestäuben
